0,52538
1,47559
2,52525
3,52074
4,52531
5,52511
6,52072
7,47574
8,47533
9,52134
10,52076
11,52064
12,41372
13,52070
14,52066
15,41379
16,52062
17,41849
18,52146
19,47652
20,52068
21,46446
22,52080
23,54689
24,47551
25,52078
26,52477
27,54617
28,41844
29,52499
30,41836
31,54673
32,41334
33,54619
34,47624
35,52159
36,54616
37,52159
38,52156
39,52222
40,52159
41,52156
42,52223
43,52249
44,47623
45,52441
46,52156
47,52457
48,47608
49,41812
50,52224
51,47638
52,41366
53,47589
54,54608
55,54675
56,52222
57,47546
58,54597
59,54687
60,47625
61,47627
62,47626
63,52152
64,52156
65,52152
66,41751
67,52428
68,47669
69,52393
70,54597
71,41179
72,47665
73,52379
74,54649
75,46459
76,47929
77,41169
78,41749
79,47647
80,52459
81,54595
82,53940
83,54669
84,54646
85,52445
86,53937
87,41189
88,54636
89,46509
90,41069
91,66706
92,54439
93,47906
94,41747
95,41748
96,54668
97,41068
98,52385
99,47661
100,54597
101,52396
102,54457
103,54611
104,52353
105,46419
106,47918
107,41063
108,41747
109,41748
110,41239
111,52355
112,54614
113,41748
114,41069
115,47877
116,53949
117,52382
118,46519
119,41061
120,41747
121,47509
122,41061
123,52372
124,41199
125,54453
126,54612
127,54441
128,54441
129,41066
130,52349
131,41065
132,54666
133,41236
134,41238
135,41363
136,41061
137,41063
138,54310
139,66693
140,47475
141,54634
142,50181
143,46487
144,54456
145,46399
146,54589
147,54298
148,47839
149,50189
150,54331
151,41352
152,52351
153,46499
154,54441
155,54456
156,47804
157,53925
158,54308
159,47506
160,52399
161,66663
162,54332
163,54450
164,46395
165,52391
166,47803
167,41517
168,54329
169,52388
170,54298
171,54311
172,47802
173,54655
174,54610
175,54584
176,47495
177,53894
178,54587
179,66780
180,47807
181,54657
182,54586
183,47805
184,41515
185,47798
186,54455
187,54570
188,53947
189,50170
190,54574
191,54294
192,47447
193,41564
194,54568
195,54309
196,50126
197,54298
198,47799
199,53909
200,54570
201,47445
202,54451
203,54459
204,54585
205,41516
206,47800
